sector,occupation,average_income,average_income2
Trade,"Drillers, Miners and Shot Firers",113202.1,"$113,202.10 "
Industrial,"Chemical, Gas, Petroleum and Power Generation Plant Operators",113593.18,"$113,593.18 "
Finance,Financial Investment Advisers and Managers,115163.14,"$115,163.14 "
Education,School Principals,116247.47,"$116,247.47 "
Science,Geologists and Geophysicists,117970.46,"$117,970.46 "
IT,ICT Managers,118358.66,"$118,358.66 "
Finance,"Actuaries, Mathematicians and Statisticians",119925.14,"$119,925.14 "
Medical,Medical Practitioners - type not specified,124193.88,"$124,193.88 "
Finance,Economists,124454.15,"$124,454.15 "
Transport / Logistics,Air Transport Professionals,133638.15,"$133,638.15 "
Engineering,Engineering Managers,134695.58,"$134,695.58 "
Medical,Other Medical Practitioners,150548.36,"$150,548.36 "
Engineering,Mining Engineers,153756.48,"$153,756.48 "
Legal,Judicial and Other Legal Professionals,165472.22,"$165,472.22 "
Medical,Psychiatrists,168702.09,"$168,702.09 "
Medical,Internal Medicine Specialists,190852.69,"$190,852.69 "
Medical,Surgeons,192338.47,"$192,338.47 "
Medical,Anaesthetists,214411.89,"$214,411.89 "
Finance,Financial Dealers,221810.95,"$221,810.95 "
